income_id,user_id,income_date,income_amount_npr,income_source,is_expected
INC_NPU_00001_202301,NPU_00001,2023-01-03,142472.49,salary,True
INC_NPU_00001_202302,NPU_00001,2023-02-02,148438.61,salary,True
INC_NPU_00001_202303,NPU_00001,2023-03-02,144627.41,salary,True
INC_NPU_00001_202304,NPU_00001,2023-04-04,144862.38,salary,True
INC_NPU_00001_202305,NPU_00001,2023-05-01,138245.3,salary,True
INC_NPU_00001_202306,NPU_00001,2023-06-01,141763.65,salary,True
INC_NPU_00001_202307,NPU_00001,2023-07-02,140429.81,salary,True
INC_NPU_00001_202308,NPU_00001,2023-08-02,144728.05,salary,True
INC_NPU_00001_202309,NPU_00001,2023-09-01,144443.26,salary,True
INC_NPU_00001_202310,NPU_00001,2023-10-01,147290.3,salary,True
INC_NPU_00001_202311,NPU_00001,2023-11-03,139261.42,salary,True
INC_NPU_00001_202312,NPU_00001,2023-12-05,142548.63,salary,True
INC_NPU_00001_202401,NPU_00001,2024-01-02,144600.29,salary,True
INC_NPU_00001_202402,NPU_00001,2024-02-02,144500.99,salary,True
INC_NPU_00001_202403,NPU_00001,2024-03-01,149460.93,salary,True
INC_NPU_00001_202404,NPU_00001,2024-04-01,143959.75,salary,True
INC_NPU_00001_202405,NPU_00001,2024-05-02,141072.95,salary,True
INC_NPU_00001_202406,NPU_00001,2024-06-02,143425.77,salary,True
INC_NPU_00001_202407,NPU_00001,2024-07-01,141108.23,salary,True
INC_NPU_00001_202408,NPU_00001,2024-08-01,137550.54,salary,True
INC_NPU_00001_202409,NPU_00001,2024-09-02,142183.6,salary,True
INC_NPU_00001_202410,NPU_00001,2024-10-01,149059.85,salary,True
INC_NPU_00001_202411,NPU_00001,2024-11-02,140738.8,salary,True
INC_NPU_00001_202412,NPU_00001,2024-12-03,142331.69,salary,True
INC_NPU_00001_202501,NPU_00001,2025-01-01,144031.88,salary,True
INC_NPU_00001_202502,NPU_00001,2025-02-02,142526.33,salary,True
INC_NPU_00001_202503,NPU_00001,2025-03-02,140222.64,salary,True
INC_NPU_00001_202504,NPU_00001,2025-04-02,150955.32,salary,True
INC_NPU_00001_202505,NPU_00001,2025-05-04,147613.33,salary,True
INC_NPU_00001_202506,NPU_00001,2025-06-02,145166.83,salary,True
INC_NPU_00001_202507,NPU_00001,2025-07-03,143010.93,salary,True
INC_NPU_00001_202508,NPU_00001,2025-08-04,144734.96,salary,True
INC_NPU_00001_202509,NPU_00001,2025-09-04,145410.23,salary,True
INC_NPU_00001_202510,NPU_00001,2025-10-01,144551.95,salary,True
INC_NPU_00001_202511,NPU_00001,2025-11-01,144802.88,salary,True
INC_NPU_00001_202512,NPU_00001,2025-12-03,146185.02,salary,True
INC_NPU_00002_202301,NPU_00002,2023-01-04,93468.39,salary,True
INC_NPU_00002_202302,NPU_00002,2023-02-01,91286.3,salary,True
INC_NPU_00002_202303,NPU_00002,2023-03-02,95784.74,salary,True
INC_NPU_00002_202304,NPU_00002,2023-04-01,91272.29,salary,True
INC_NPU_00002_202305,NPU_00002,2023-05-05,93077.14,salary,True
INC_NPU_00002_202306,NPU_00002,2023-06-01,94918.45,salary,True
INC_NPU_00002_202307,NPU_00002,2023-07-03,94975.28,salary,True
INC_NPU_00002_202308,NPU_00002,2023-08-03,93540.44,salary,True
INC_NPU_00002_202309,NPU_00002,2023-09-01,93937.96,salary,True
INC_NPU_00002_202310,NPU_00002,2023-10-01,94748.62,salary,True
INC_NPU_00002_202311,NPU_00002,2023-11-04,92804.48,salary,True
INC_NPU_00002_202312,NPU_00002,2023-12-02,97165.66,salary,True
INC_NPU_00002_202401,NPU_00002,2024-01-05,92429.36,salary,True
INC_NPU_00002_202402,NPU_00002,2024-02-02,93739.89,salary,True
INC_NPU_00002_202403,NPU_00002,2024-03-01,93267.15,salary,True
INC_NPU_00002_202404,NPU_00002,2024-04-02,94347.46,salary,True
INC_NPU_00002_202405,NPU_00002,2024-05-01,97044.8,salary,True
INC_NPU_00002_202406,NPU_00002,2024-06-04,92328.81,salary,True
INC_NPU_00002_202407,NPU_00002,2024-07-01,94951.29,salary,True
INC_NPU_00002_202408,NPU_00002,2024-08-02,95299.72,salary,True
INC_NPU_00002_202409,NPU_00002,2024-09-02,96260.18,salary,True
INC_NPU_00002_202410,NPU_00002,2024-10-01,92619.68,salary,True
INC_NPU_00002_202411,NPU_00002,2024-11-02,92545.04,salary,True
INC_NPU_00002_202412,NPU_00002,2024-12-03,93762.7,salary,True
INC_NPU_00002_202501,NPU_00002,2025-01-01,93800.41,salary,True
INC_NPU_00002_202502,NPU_00002,2025-02-02,92201.94,salary,True
INC_NPU_00002_202503,NPU_00002,2025-03-04,95347.14,salary,True
INC_NPU_00002_202504,NPU_00002,2025-04-03,95147.4,salary,True
INC_NPU_00002_202505,NPU_00002,2025-05-02,97930.01,salary,True
INC_NPU_00002_202506,NPU_00002,2025-06-02,93522.07,salary,True
INC_NPU_00002_202507,NPU_00002,2025-07-01,92157.28,salary,True
INC_NPU_00002_202508,NPU_00002,2025-08-01,92427.28,salary,True
INC_NPU_00002_202509,NPU_00002,2025-09-02,94729.14,salary,True
INC_NPU_00002_202510,NPU_00002,2025-10-01,92659.26,salary,True
INC_NPU_00002_202511,NPU_00002,2025-11-01,95491.57,salary,True
INC_NPU_00002_202512,NPU_00002,2025-12-02,92871.21,salary,True
INC_NPU_00003_202301,NPU_00003,2023-01-02,139924.07,salary,True
INC_NPU_00003_202302,NPU_00003,2023-02-01,139210.47,salary,True
INC_NPU_00003_202303,NPU_00003,2023-03-02,136891.65,salary,True
INC_NPU_00003_202304,NPU_00003,2023-04-02,135343.95,salary,True
INC_NPU_00003_202305,NPU_00003,2023-05-03,142879.28,salary,True
INC_NPU_00003_202306,NPU_00003,2023-06-03,140413.31,salary,True
INC_NPU_00003_202307,NPU_00003,2023-07-03,136176.1,salary,True
INC_NPU_00003_202308,NPU_00003,2023-08-01,136410.89,salary,True
INC_NPU_00003_202309,NPU_00003,2023-09-02,144968.46,salary,True
INC_NPU_00003_202310,NPU_00003,2023-10-03,137065.15,salary,True
INC_NPU_00003_202311,NPU_00003,2023-11-05,143891.79,salary,True
